"floor","itemId","name"
"1","1","OUTDOOR"
"1","6","125"
"1","12","106"
"1","14","149"
"1","15","144"
"1","16","134"
"1","18","126"
"1","23","127"
"1","25","115"
"1","27","111"
"1","28","130"
"1","29","104"
"1","30","110"
"1","35","107"
"1","36","102"
"1","39","152"
"1","41","114"
"1","42","128"
"1","44","112"
"1","46","156"
"1","50","108"
"1","52","118"
"1","58","153"
"1","59","S102"
"1","60","129"
"1","61","133"
"1","62","147"
"1","63","131"
"1","64","109"
"1","65","143A"
"1","66","142"
"1","98","139"
"1","99","124"
"1","68","132"
"1","69","140"
"1","70","154"
"1","71","117"
"1","74","157"
"1","75","101"
"1","76","143"
"1","77","119"
"1","78","145"
"1","79","122"
"1","80","150"
"1","81","116"
"1","83","105"
"1","84","121"
"1","85","137"
"1","86","113"
"1","88","155"
"1","90","103"
"1","91","138"
"1","93","S101"
"1","94","141"
"1","95","123"
"1","97","148"
"1","4","146"
"1","5","136"
"1","38","158"
"1","67","135"
"1","100","151"
"2","2","OUTDOOR"
"2","7","223"
"2","8","222"
"2","9","235"
"2","10","229"
"2","11","231"
"2","13","227"
"2","17","220"
"2","19","234"
"2","20","206"
"2","21","219"
"2","22","213"
"2","24","217"
"2","26","228"
"2","31","207"
"2","32","226"
"2","33","215"
"2","34","225"
"2","37","218"
"2","40","212"
"2","43","S201"
"2","45","211"
"2","47","216"
"2","49","237"
"2","51","208"
"2","54","232"
"2","55","214"
"2","56","S202"
"2","57","236"
"2","72","202"
"2","73","230"
"2","82","209"
"2","87","233"
"2","89","204"
"2","92","224"
"2","96","201"
"2","48","221"
"2","53","203"
"2","101","210"
"2","102","205"
"3","3","OUTDOOR"
